produkt;variant;handle;status;pris_nu;nypris_60;inpris;marginal_nu_%;ny_marginal_%;hojning_kr
BBQ Grillborste Ultra;;bbq-grillborste-ultra;Active;149.0;159;63.61;57.3;60.0;10
BBQ – Redskapsset för Grillen 3, 5 eller 9 delar;3 pcs - To Go;bbq-redskapsset-for-grillen;Active;299.0;299.0;91.56;69.4;69.4;0
BBQ – Redskapsset för Grillen 3, 5 eller 9 delar;5 pcs - Amateur;bbq-redskapsset-for-grillen;Active;349.0;349.0;103.12;70.5;70.5;0
BBQ – Redskapsset för Grillen 3, 5 eller 9 delar;9 pcs - Grill Master;bbq-redskapsset-for-grillen;Active;399.0;399.0;136.85;65.7;65.7;0
Borst + PolérHuvud;;borst-poler-huvud;Active;249.0;259;103.12;58.6;60.2;10
Flipgrill;;flipgrill;Active;2800.0;2800.0;960.87;65.7;65.7;0
Förkläde - Enormt tränad man;;forklade-enormt-tranad-man;Active;149.0;189;73.25;50.8;61.2;40
Förkläde - Grill Master;;forklade-grill-master;Active;149.0;209;82.88;44.4;60.3;60
Förkläde - Kiss and bring him beer;;forklade-kiss-and-bring-him-beer;Active;149.0;209;82.88;44.4;60.3;60
Förkläde - Kvinna i bikini;;forklade-kvinna-i-bikini;Active;149.0;189;73.25;50.8;61.2;40
Förkläde - MC knutt;;forklade-mc-knutt;Active;149.0;189;73.25;50.8;61.2;40
Förkläde - Ölmage;;forklade-olmage;Active;149.0;189;73.25;50.8;61.2;40
Förkläde - Premium Läder;Brown;forklade-lader;Active;499.0;499.0;193.72;61.2;61.2;0
Förkläde - Premium Läder;Black;forklade-lader;Active;499.0;499.0;193.72;61.2;61.2;0
Förkläde - Sailor Moon;;forklade-sailor-moon;Active;149.0;189;73.25;50.8;61.2;40
Förklade - Slitstarkt, flera färger;Brown;forklade-slitstarkt-flera-farger;Active;299.0;299.0;106.01;64.5;64.5;0
Förklade - Slitstarkt, flera färger;Black;forklade-slitstarkt-flera-farger;Active;299.0;299.0;106.01;64.5;64.5;0
Förklade - Slitstarkt, flera färger;Blue;forklade-slitstarkt-flera-farger;Active;299.0;299.0;106.01;64.5;64.5;0
Förklade - Slitstarkt, flera färger;Grey;forklade-slitstarkt-flera-farger;Active;299.0;299.0;106.01;64.5;64.5;0
Förkläde - The Grillfather;;forklade-the-grillfather;Active;149.0;209;82.88;44.4;60.3;60
Förkläde - Tränad manlig kropp;;forklade-tranad-manlig-kropp;Active;149.0;189;73.25;50.8;61.2;40
Förkläde – MästerKOCK;;forklade-masterkock;Active;299.0;299.0;95.41;68.1;68.1;0
Greatgrill;No handle;roterande-grillkorg-i-rostfritt-stal-perfekt-for-gronsaker-kott-tillbehor;Active;320.0;320.0;109.87;65.7;65.7;0
Greatgrill;With handle;roterande-grillkorg-i-rostfritt-stal-perfekt-for-gronsaker-kott-tillbehor;Active;350.0;350.0;118.54;66.1;66.1;0
Grillblåsaren Turbo;;grillblasaren-turbo;Unlisted;699.0;699.0;160.95;77.0;77.0;0
Grillborste – Lätt & enkel;;stalborste-for-grill;Active;99.0;219;86.74;12.4;60.4;120
Grillklubbor - Golf Grill Kit;Green;golf-grill-kit;Active;799.0;829;330.57;58.6;60.1;30
Grillklubbor - Golf Grill Kit;Black;golf-grill-kit;Active;799.0;829;330.57;58.6;60.1;30
Grillplatta / Stekbord i rostfritt stål;;stekbord;Active;1999.0;1999.0;544.52;72.8;72.8;0
Grillrengöringsspray;;grillrengoringsspray;Active;299.0;299.0;88.67;70.3;70.3;0
Grillrengöringssten;;grillrengoringssten;Active;149.0;189;72.28;51.5;61.8;40
Grillspett Premium 6 Pack;;grillspett-premium-rostfritt-stal;Active;399.0;399.0;142.64;64.3;64.3;0
Grilltänger – Flera storlekar;39cm Red;grilltanger;Active;99.0;199;79.03;20.2;60.3;100
Grilltänger – Flera storlekar;34cm Red;grilltanger;Active;99.0;189;75.17;24.1;60.2;90
Grilltänger – Flera storlekar;27cm Red;grilltanger;Active;99.0;189;72.28;27.0;61.8;90
Grilltänger – Flera storlekar;39cm Black;grilltanger;Active;99.0;199;79.03;20.2;60.3;100
Grilltänger – Flera storlekar;34cm Black;grilltanger;Active;99.0;189;75.17;24.1;60.2;90
Grilltänger – Flera storlekar;27cm Black;grilltanger;Active;99.0;189;72.28;27.0;61.8;90
Hamburgerpress i gjutjärn;;hamburgerpress-i-gjutjarn;Active;399.0;399.0;147.46;63.0;63.0;0
Knivslip 4-stegs;;knivsliop;Active;179.0;189;73.25;59.1;61.2;10
KorvGubben;;korvgubben;Active;199.0;199.0;62.64;68.5;68.5;0
Majskolvshållare - 10 Pack;;majskolvshallare-10-pack;Active;99.0;149;58.79;40.6;60.5;50
Mastern - Hela Mastern Kittet;;mastern-hela-mastern-kittet;Unlisted;1600.0;1600.0;231.01;85.6;85.6;0
Mastern — Elektrisk grillborste;;elektrisk-grillborste;Active;999.0;999.0;231.01;76.9;76.9;0
Potatisskruv skärare;;potatisskruv-skarare;Active;149.0;169;66.5;55.4;60.7;20
Premium Biffknivar 6-pack;;premium-biffknivar-i-rostfritt-stal-6-pack-med-elegant-forvaringslada;Active;999.0;999.0;299.73;70.0;70.0;0
Skärbräda i ändträ – Premium valnötsträ;;skarbrada-i-andtra-premium-valnotstra-36-x-24-x-2-5-cm;Active;699.0;699.0;190.82;72.7;72.7;0
