status,fel,källa,namn,goods_id,temu_url,pris,live,dna,q4,golv,material,orsak,agent_status
TEST,—,bänk (fas 1 / V2.2 / batch 1),"Isolerad utekattkoja i Oxford-tyg, hopfällbar",601101118338671,https://www.temu.com/se/g-601101118338671.html,"10,92 USD · ★4,9 (72) · 6 bilder · video",ja,79,Q4 NOW,"Kedjan tom; look-alikes PriceRunner 157 / Fyndiq 395–504 / Shein 424; ankare i lager Kerbl 1 017, VEVOR 1 048, Supercat 1 799","PASS — riktig katt i kojan i höstlöv, textfri; videon studiodemo","Alla nio gater PASS på verifierat underlag. 599 kr = 4,5–5,3×. Risk: look-alikes + 3 annonsörer sedan aug; sälj en SKU, ankaret i bild.",—
VERIFY,—,bänk (fas 1 / V2.2 / batch 1),"Staketstolps-reparationsbygel med markspett, 2/4-set",601103866118857,https://www.temu.com/se/g-601103866118857.html,"16,95 USD · ★4,8 (109) · 3 bilder · video",ja,78,Q4 NOW,Ingen — Bauhaus 232 stolptillbehör utan reparationsbygel; kedjorna säljer stolpskor för nya stolpar; Ad Library 0,PASS — textfri hero med bygeln nedslagen intill stolpen; videon studiopackshot,"Formen är obevisad i Sverige (staket byggs med stolpsko/gjutning). 599 kr = 2,9–3,4×. Verifiera: beställ, laga en stolpe, filma.",—
VERIFY,—,present/hobby,Spinnarbyggsats 155–228 delar – gör dina egna spinnare,601100910111663,https://www.temu.com/se/g-601100910111663.html,17.92 USD · ★4.9 (39) · 4 bilder · video,ja,62,BLACK WEEK / GIFT,"Örjans Fiske – Göra egna spinnare, byggsats ca 20 spinnare (utan krokar) — 279 kr",PASS — flat-lay-hero + video med färdiga drag vid vatten,"Live 17,92 USD ★4,9 (39), video. 549 kr = 2,5–2,9×. Ingen kedja; Örjans färdiga spinnare 279–389 är annan form. Kvar: Fyndiq/Amazon-golv på byggsats oläst, Dovesun-märke på lådan.",PENDING_VERIFICATION — huvudsessionen läser pris/betyg på 601100910111663; PASS ≤ 15 USD (449 kr) eller ≤ 17 USD (499 kr).
WATCH,AUDIENCE FAILURE,bänk (fas 1 / V2.2 / batch 1),Vinterhuv till hönsgården (klar väv med öljetter),601103333430208,https://www.temu.com/se/g-601103333430208.html,"21,60 USD · ★4,6 (127) · 2 bilder · video",ja,82,Q4 NOW,"Ingen huvform — PriceRunner 15 träffar, alla hela gårdar 2 377–15 558 kr","HALV — stark hero (gård i regn, textfri); videon visar en klar PE-presenning på ett golv","35 000–70 000 hönsägare (351 167 hobbyhöns ÷ 5–10) under golvet 100 000; produkten är en presenning; 8 storlekar i tum. 799 kr = 3,0–3,5×.",—
WATCH,MATERIAL FAILURE,bänk (fas 1 / V2.2 / batch 1),Tändvedsklyv i gjutjärn (ring + kil),601099583674464,https://www.temu.com/se/g-601099583674464.html,"16,25 USD · ★4,9 (28) · 1 bild · ingen video",ja,72,Q4 NOW,"Golv setrimmer.se 288/365 kr i lager; ankare Kindling Cracker 1 249 (9+ butiker), Jula/Clas 999; Aduro 295/Northix 419 slutsålda","FAIL på listningen — packshot av bultad ram; 601099561039096 (34,11 USD) och 601099702553211 (0 rec) lika svaga","Marknaden är jaktens största (~1,1 M vedeldade eldstäder) och ingen av fyra listningar har material. 599 kr = 3,0–3,5×. Nytt listningssök i oktober.",—
WATCH,MATERIAL FAILURE,bänk (fas 1 / V2.2 / batch 1),Taköverdrag husvagn/husbil 5–12 m,601101311828193,https://www.temu.com/se/g-601101311828193.html,"26,52 USD · ★4,6 (48) · 17 bilder · video",ja,72,Q4 NOW,"Ingen kedja i tak-only-formen; Jula helöverdrag ~1 599–1 999; ankare i lager Campmaster takskydd från 1 495 (1,87×), EuroTrail 1 599–2 395, Brunner 2 999",FAIL — hero: amerikansk Class A-husbil på vit botten med inbränd text; video: röd pickup med skynke,"Motorhöljets struktur, 116 344 avställda husvagnar, meter som variant, 799 kr = 2,5–2,9× — men fel fordon i bild. Alternativ 51–60 USD. Sök 'caravan roof cover'.",—
WATCH,LISTING FAILURE,present/hobby,Eldblåsare teleskopisk i rostfritt – 2-pack med fodral,601099516094068,https://www.temu.com/se/g-601099516094068.html,2.46 USD · ★5.0 (2) · 1 bilder · ingen video,ja,66,Q4 NOW + GIFT,"Mylar.se 'Blåsrör för eldning' 69,90 kr/st (5- och 10-pack finns); Fruugo/Amazon.se liknande — 69.9 kr",HALV — i bruk men textig,"Live 2,46 USD ★5,0 (**2 rec**), 1 bild, ingen video. Hero visar mannen som blåser på elden men nedre tredjedelen är inbränd engelsk text. 249 kr = 8× men ~220 kr vinst/köp. Bara som 2-pack (601105175249704, oläst).","PENDING_VERIFICATION — verifiera pris/betyg på 601099516094068 eller 2-packslistningen 601105175249704, sedan TEST i separat ABO."
WATCH,MARKETPLACE FAILURE,dolda pärlor,"Solcellsdriven flaggstångsbelysning, toppmonterad (26–136 LED)",605583893712528,https://www.temu.com/se/g-605583893712528.html,13.26 USD · ★4.9 (167) · 2 bilder · video,ja,66,Q4 NOW,"Amazon.se: Brubaker flaggstångs-solcellslampa 26 LED (pris dolt 'lägg i kundvagn'), Lixada 42 LED, generisk 2000 mAh — marketplace-golv FINNS men priset är oläst","PASS på videon, hero kräver byte av flagga","Live 13,26 USD ★4,9 (167), video visar riktig montering på stångtopp inom 3 s; heron bär amerikansk flagga. **Amazon.se Brubaker 344,99 kr i lager** och generisk 426,63 — samma form. Flaggmax 849 slutsåld = inget aktivt ankare. 399 kr = 2,5–2,9× men över golvet.","TEST IF VERIFIED — (1) läs Brubaker/Lixada-priset på Amazon.se, (2) beställ prov och sätt på en svensk 8 m-stång, (3) hämta materialet när Temu svarar. Sedan /n"
REJECT-INTRESSANT,PRICE FAILURE,bänk (fas 1 / V2.2 / batch 1),Överdrag till hydraulisk vedklyv 15–45 ton,601099603802865,https://www.temu.com/se/g-601099603802865.html,"436,75 kr på SE-Temu (läst i karusellen 2026-09-04, ej hämtad med temu-ld)",nej (SE-karusell 2026-09-04),76,Q4 NOW,"Ingen kedja, ingen marketplace i formen",ej sett,"Landad 655–741 kr, över 420-taket. Rätt objekt (klyv värd 4 000–20 000 kr som står ute). Sök överdrag till liten el-klyv 5–7 ton.",—
REJECT-INTRESSANT,LISTING FAILURE,dolda pärlor,"Bärsele/bärhandtag för utombordare (lyftrem med handtag, 2-mans eller axelsele)",,https://www.temu.com/search_result.html?search_key=outboard%20motor%20carrying%20strap%20lifting%20sling  (söklänk — ingen produktlistning finns på Temu),UNKNOWN,nej,68,Q4 NOW,"Ej sökt på svensk hylla eftersom ingen Temu-listning finns; bat-klustret 2026-09-04 fann bara Kayoba motorkärra (Jula) och 'motorlyft utombordare' (kranar, > 1 000 kr) — ingen bärsele sågs",—,Ingen Temu-listning på tre fraser. Motorhöljets syskonprodukt i upptagningsveckan; kanske finns formen inte för att motorer bärs av två.,"ALTERNATIVE_LISTING_REQUIRED — sök när Temu svarar: 'outboard motor carrying strap', 'engine lifting sling small outboard', 'boat motor tote strap'. Hittas en l"
