forpoang,rec_gate,hylla_ny,struktur_kill,v23_status,v23_fel,src,kluster,namn,koncept,goods_id,url_se,alt_ids,dna,tier,elim,orsak,rec,rec_kalla,pris_usd,temu_pris_sek,vart_pris,golv_namn,golv_pris,ankare_namn,ankare_pris,se_pris,q4,hook,risk,temu_hamtad
102.0,GREEN,PASS,False,WATCH,AUDIENCE FAILURE,v22/fas2/djur.json,djur,"chicken coop / poultry run cover, waterproof tarp with elastic cords (engelsk slug; svensk titel ej lasbar - BLOCKED_SOU","Vinterhuv till honsgarden - formsydd presenningsvav med resarlina/bungee, tackar tak och vindsida pa en walk-in honsgard agaren redan har",601103333430208,https://www.temu.com/se/g-601103333430208.html,,82.0,A,,PASS,99,snippet+,27.0,,799.0,,,"vidaXL Honsgard med tak 2,5x6x2,25 m (kontextankare for objektet, inte for forme",5859.0,799.0,,Blaser presenningen av honsgarden?,Att formen i praktiken ar 'en presenning' - da ar den mass-commoditiserad i varje bygghandel och agaren har redan en. Och matten: agaren vet inte sin gards matt utantill (gate 7).,False
98.0,GREEN,PASS,False,TEST,—,dataset(V2.1),djur,,utekatten + trappen/altanen/uthuset,601101118338671,https://www.temu.com/se/g-601101118338671.html,,78.0,A (TEST NOW — V2.2),,,72,snippet,,,,"PriceRunner-utdrag: Kerbl Outdoor Cat House 1 017 kr, QLS isolerat trä 1 126–1 2",1017.0,Supercat Katthus 4 season (isolerat trä),1799.0,,,,Materialet ej sett: om leverantörsvideon är en studiorendering utan katt faller den till B. Prisläge okänt.,False
93.0,GREEN,?,False,VERIFY,—,v22/fas2/tomt.json,tomt,"4 Set/2 Set Heavy Duty Steel Fence Post Repair Kit With 32"" Ground Stakes, Adjustable Brackets, Pre-drilled Holes",staketstolps-reparationsbygel,601103866118857,https://www.temu.com/se/g-601103866118857.html,,78.0,B,,PENDING_VERIFICATION,89,snippet,16.0,,499.0,,,,,499.0,,Lutar staketstolpen efter höststormen?,"Hyllan är overifierad i dag. Faller den (Biltema/Bauhaus har en likadan reparationsbygel) faller konceptet, för formen är billig att kopiera. Näst största risken: monteringen kräver slägga och 30 minu",False
92.0,GREEN,PASS,False,WATCH,MATERIAL FAILURE,v22/fas2/husvagn-mc.json,husvagn-mc,1pc of RV roof cover designed for motorhomes travel trailers and buses offering UV and sun protection suitable for RVs m,husvagn-taköverdrag,601101311828193,https://www.temu.com/se/g-601101311828193.html,,72.0,B,,PENDING_VERIFICATION,46,snippet,25.0,,799.0,OKAND — biltema.se/jula.se/rusta.com svarade 403/404 (Akamai) och WebSearch-budg,,"EuroTrail Husvagnsöverdrag (fackhandel, GetCamping)",2395.0,799.0,,Star husvagnen ute i vinter?,Att Biltema eller Jula har ett husvagnsoverdrag under 700 kr — ej verifierbart denna korning. Darefter att $25 ar for lite for ett riktigt 5-12 m tak: produkten kan vara tunnare och mindre an titeln a,False
91.0,GREEN,PASS,False,HARD REJECT,MARKETPLACE FAILURE,batch1/fritidshus.json,fritidshus,Löstagbar säkerhetsbom för dörr och fönster i tomma fritidshuset,Ytterdörr och fönster på fritidshuset,601099970240430,https://www.temu.com/se/g-601099970240430.html,601101482201265,81.0,TEST,,"PASS (PENDING_VERIFICATION — ur sökutdrag, ingen Big4-träff via WebSearch site:biltema.se/jula.se/clasohlson.se/rusta.com heller, bara dörrstopp och fasta fönsterlås) PriceRunner 'dörrspärr säkerhetsbom' (4 träffar, ur sökutdrag): enbart dörrbromsar/dörrstopp (Habo 55–211 kr) och ett fönstersäkerhet",99,snippet+,17.0,,463,"PriceRunner 'dörrspärr säkerhetsbom' (4 träffar, ur sökutdrag): enbart dörrbroms",,ABUS FTS16 fönsterlås (fast montage),785.0,,,Låser du stugan ordentligt i vinter?,Materialet är obesett (BLOCKED_SOURCE — Temu.com går inte att öppna för frame-granskning i denna körning); en enkel metallstång kräver att annonsen visar en riktig dörr/fönster i en riktig stuga för a,False
88.0,GREEN,PASS,False,,,dataset(V2.1),ved,"Vedställsöverdrag 4–8 ft, PU-belagt, 4 nylonspännen (endast överdrag)",vedställ / vedhög utomhus,601099615828436,https://www.temu.com/se/g-601099615828436.html,,78.0,C (strukturellt: marketplace-golv),,,10,snippet,,,,UNKNOWN,,"Vedställsöverdrag 2 st 174x173 cm (Dealproffsen, ord. 899)",549.0,,,,Jula/Biltema kan ha ett överdrag i samma form för 149–249 kr — då krävs en synlig spec-skillnad (600D/PU + spännen mot tunn presenning) precis som 420D mot 85 g/m² på motorhöljet.,False
88.0,GREEN,PASS,False,WATCH,MATERIAL FAILURE,dataset(V2.1),ved,"Tändvedsklyv i gjutjärn, dubbla blad (Kindling Cracker-typ)",veden + hammare/klubba (ägd); huggkubben,601099583674464,https://www.temu.com/se/g-601099583674464.html,,68.0,"B (närmast A — TEST IF VERIFIED, V2.2)",,,28,snippet,,,,UNKNOWN,,Kindling Cracker Original (Jula / Hylte / Pricerunner 11 butiker),1249.0,,,,Om Jula säljer samma form för 299 kr utan att vi kan visa Kindling Cracker-ankaret i bild faller prisutrymmet.,False
86.0,GREEN,PASS,False,WATCH,MARKETPLACE FAILURE,v23/dolda-parlor.json,dolda-parlor,"Solcellsdriven flaggstångsbelysning, toppmonterad (26–136 LED)","Solcellslampa som sätts på flaggstångens topp och lyser nedåt över flagga/vimpel och stång från skymning till gryning. Ingen sladd, ingen elektriker. Mörkret från kl 16 i oktober gör att flaggstången — tomtens högsta objekt — står svart hela kvällen; flaggregeln säger dessutom att en flagga som är hissad efter solnedgång ska vara belyst.",605583893712528,https://www.temu.com/se/g-605583893712528.html,601099527860543 601099526401943 601099571846168 601099979928378 601103409797403 601105702121251,66.0,"TEST IF VERIFIED — (1) läs Brubaker/Lixada-priset på Amazon.se, (2) beställ prov och sätt på en svensk 8 m-stång, (3) hämta materialet när Temu svarar. Sedan /ny-produkt vid 449 kr med Flaggmax 849 i bild.",,"PENDING_VERIFICATION med PASS-indikation: ingen kedja (Biltema/Jula/Clas/Rusta) i toppmonterad solcellsform — Clas har bara 230 V-slingan. Fackhandelsankare 849 kr = 1,89× vid 449. Golvet på Amazon.se (Brubaker/Lixada) är oläst och avgör: ligger det under ~400 kr faller 449-priset till 399.",99,snippet+,13.26,,449.0,Amazon.se: Brubaker flaggstångs-solcellslampa 26 LED (pris dolt 'lägg i kundvagn,,"Flaggmax Flaggstångsbelysning LED Max (solcell, toppmonterad) 849 kr (ord. 999),",849.0,449.0,Q4 NOW,Står flaggstången mörk i höst?,Passformen mot svenska flaggstångstoppar (knopp/gänga/diameter) — passar den inte är returgraden dödlig. Näst: solcell i svensk december ger 5–6 h sol → lampan kan slockna vid 22 i stället för gryning,False
83.0,OK,PASS,False,,,dataset(V2.1),pool,"Hot Tub Cover Rainproof Dustproof Bathtub Protector Cover — cover cap, hot tub covers for winter, brown (ur söktitel; sv",Spalocket (det styva isolerade locket) på ett fast utomhusspabad,601099619866532,https://www.temu.com/se/g-601099619866532.html,,78.0,C (strukturellt: marketplace-golv),,,204,snippet,,,,Spabadsbutiken.se (fackhandel),895.0,Spabadsbutiken Cover Cap deLuxe 210x210 cm,1295.0,,,,Passform/SKU-djungel: ett lockskydd som inte sitter fast i höststorm ger returer; leverantörsvideon ej sedd.,False
82.0,GREEN,PASS,False,,,v22/fas2/djur.json,djur,"chicken coop / poultry run cover, waterproof tarp with elastic cords (engelsk slug; svensk titel ej lasbar - BLOCKED_SOU","Vinterhuv till honsgarden - formsydd presenningsvav med resarlina/bungee, tackar tak och vindsida pa en walk-in honsgard agaren redan har",601099639534098,https://www.temu.com/se/g-601099639534098.html,,72.0,B,,PASS,99,snippet+,19.0,,599.0,,,"vidaXL Honsgard med tak 2,5x6x2,25 m (kontextankare for objektet, inte for forme",5859.0,599.0,,Blaser presenningen av honsgarden?,Att formen i praktiken ar 'en presenning' - da ar den mass-commoditiserad i varje bygghandel och agaren har redan en. Och matten: agaren vet inte sin gards matt utantill (gate 7).,False
82.0,GREEN,PASS,False,,,dataset(V2.1),garage,"1pc Car Charging Magnetic Cover — Electric Outdoor EV Charger Plug (regnskydd laddport + laddhandtag, magnet)",Elbilens laddport med isatt laddhandtag (bilen står ute på uppfarten/carporten och laddar över natten),601099579267397,https://www.temu.com/se/g-601099579267397.html,,72.0,ELIM,shelf,"Laddportsskyddet i exakt samma magnetform säljs av Clas Ohlson för 169 kr och Elgiganten för 129 kr (ord. 209). Laddkabelhållaren finns hos Clas Ohlson 199 kr, Kjell 299,90 kr och Deltaco från 65 kr på Pricerunner — ingen synlig ankare ≥1,6× över kedjepriset.",7,snippet,,,,"Fyndiq (marketplace, flera säljare)",,Kjell & Company Väggfäste för laddkabel Typ 2,299.9,,,,Materialet: om leverantörsvideon bara visar en hand som smäller dit en flärp i studio finns ingen annons — och Fyndiq-kopior kan ligga i flödet till 100 kr. Verifiera video + Ad Library före köp.,False
82.0,GREEN,PASS,False,,,dataset(V2.1),pool,"221lbs Steel 48"" Hot Tub Handrail Spa Stair Ladder Side Hand Rail Railing, silver (ur söktitel)",Kanten/insteget på ett fast spabad,601099575291512,https://www.temu.com/se/g-601099575291512.html,,72.0,C (ekonomi på US-pris),,,118,snippet,,,,Ingen träff i Spabadsbutiken/Poolkungen (sökt 'räcke' 2026-09-04); övriga spahan,,Folkpool SPA Side LED Handrail,2995.0,,,,"Frakt/vikt på 1,2 m stål från Temu; passar inte spabad på trädäck med inbyggd kabinett; videon kan visa husbil (RV) i stället för spa.",False
82.0,GREEN,PASS,False,,,v22/fas2/djur.json,djur,"chicken coop / poultry run cover, waterproof tarp with elastic cords (engelsk slug; svensk titel ej lasbar - BLOCKED_SOU","Vinterhuv till honsgarden - formsydd presenningsvav med resarlina/bungee, tackar tak och vindsida pa en walk-in honsgard agaren redan har",601105812919031,https://www.temu.com/se/g-601105812919031.html,,72.0,B,,PASS,99,snippet+,19.0,,599.0,,,"vidaXL Honsgard med tak 2,5x6x2,25 m (kontextankare for objektet, inte for forme",5859.0,599.0,,Blaser presenningen av honsgarden?,Att formen i praktiken ar 'en presenning' - da ar den mass-commoditiserad i varje bygghandel och agaren har redan en. Och matten: agaren vet inte sin gards matt utantill (gate 7).,False
82.0,GREEN,PASS,False,,,v22/fas2/djur.json,djur,"chicken coop / poultry run cover, waterproof tarp with elastic cords (engelsk slug; svensk titel ej lasbar - BLOCKED_SOU","Vinterhuv till honsgarden - formsydd presenningsvav med resarlina/bungee, tackar tak och vindsida pa en walk-in honsgard agaren redan har",601101311897045,https://www.temu.com/se/g-601101311897045.html,,72.0,B,,PASS,51,snippet,23.0,,699.0,,,"vidaXL Honsgard med tak 2,5x6x2,25 m (kontextankare for objektet, inte for forme",5859.0,699.0,,Blaser presenningen av honsgarden?,Att formen i praktiken ar 'en presenning' - da ar den mass-commoditiserad i varje bygghandel och agaren har redan en. Och matten: agaren vet inte sin gards matt utantill (gate 7).,False
