title,body,rating,review_date,reviewer_name,reviewer_email,product_url,picture_urls,product_id,product_handle
"Precis vad jag behövde","Fungerar bra och känns praktisk.","5","20/08/2026","Mikael","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Enkel och bra","Mycket enkel att använda. Jag är nöjd.","5","20/08/2026","Emma","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Bra produkt","Gör det lättare att få knivarna vassa.","5","20/08/2026","Anders","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Rekommenderas","Fungerar bra och är väldigt smidig.","5","20/08/2026","Linda","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Smidig att använda","Lätt att använda och tar inte mycket plats.","5","20/08/2026","Sara","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Nöjd","Jag är väldigt nöjd med slipmaskinen.","5","20/08/2026","Maria","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Bra köp","En enkel maskin som fungerar som den ska.","5","20/08/2026","Johan","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Mycket smidig","Liten och smidig. Gör jobbet snabbt.","5","20/08/2026","Lars","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Fungerar fint","Bra för att slipa och polera hemma.","5","20/08/2026","Erik","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Bra liten maskin","Fungerar bra och är enkel att använda.","5","20/08/2026","Anna","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Akkurat det jeg trengte","Fungerer bra og føles praktisk.","5","20/08/2026","Mikael","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Enkel og bra","Veldig enkel å bruke. Jeg er fornøyd.","5","20/08/2026","Emma","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Bra produkt","Gjør det lettere å få knivene skarpe.","5","20/08/2026","Anders","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Anbefales","Fungerer bra og er veldig smidig.","5","20/08/2026","Linda","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Smidig å bruke","Lett å bruke og tar ikke mye plass.","5","20/08/2026","Sara","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
"Fornøyd","Jeg er veldig fornøyd med slipemaskinen.","5","20/08/2026","Maria","","https://aphkky-ke.myshopify.com/products/balteslipmaskinen","","10400050512167","balteslipmaskinen"
