title,body,rating,review_date,reviewer_name,reviewer_email,product_url,picture_urls,product_id,product_handle
"Rekommenderar","Stabil och enkel. Jag är nöjd.","5","08/07/2026","Daniel","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Nöjd","Bra hållare som sparar plats.","5","08/06/2026","Lars","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Enkel att använda","Lätt att sätta upp och spöna sitter bra.","5","08/05/2026","Fredrik","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Bra köp","Fungerar bra och känns stabil.","5","08/04/2026","Mikael","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Smidigt","Perfekt för att hålla ordning på fiskespöna.","5","08/03/2026","Peter","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Mycket nöjd","Bra kvalitet och smidig att använda.","5","08/02/2026","Johan","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Bra hållare","Enkel att montera och håller spöna bra.","5","08/01/2026","Anders","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Anbefaler","Stabil og enkel. Jeg er fornøyd.","5","08/07/2026","Daniel","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Fornøyd","Bra holder som sparer plass.","5","08/06/2026","Lars","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Enkel å bruke","Lett å sette opp, og stengene sitter godt.","5","08/05/2026","Fredrik","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Bra kjøp","Fungerer bra og kjennes stabil.","5","08/04/2026","Mikael","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Smidig","Perfekt for å holde orden på fiskestengene.","5","08/03/2026","Peter","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
"Svært fornøyd","Bra kvalitet og enkel å bruke.","5","08/02/2026","Johan","","https://tacklebay.se/products/fiskespohallare-4-pack","","9414189252844","fiskespohallare-4-pack"
