title,body,rating,review_date,reviewer_name,reviewer_email,product_url,picture_urls,product_id,product_handle
"","Bra skydd för taket och lätt att använda.","5","08/09/2026","Karin","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Jag är nöjd med överdraget. Rekommenderas.","5","08/09/2026","Erik","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Enkel lösning och bra passform.","5","08/09/2026","Linda","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Skyddar husvagnen bra mot regn och smuts.","5","08/09/2026","Anders","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Bra kvalitet och lätt att använda.","5","08/09/2026","Sofia","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Praktiskt överdrag som gör jobbet.","5","08/09/2026","Emma","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Mycket nöjd. Bra skydd när husvagnen står ute.","5","08/09/2026","Johan","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Enkel att sätta på och känns bra.","5","08/09/2026","Maria","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Passar bra och skyddar taket mot väder.","5","08/09/2026","Lars","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
"","Bra skydd för husvagnen. Enkel att använda.","5","08/09/2026","Anna","","https://yitrbk-m3.myshopify.com/products/takskyddet","","16084174242124","takskyddet"
