Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
majavaliitin-ei-enaa-hankalia-kaapelikenkia,Majavaliitin – Ei enää hankalia kaapelikenkiä,"<h2 data-start=""133"" data-end=""179"">Ei enää kaapelisotkua – kertakaikkisesti</h2>
<p data-start=""181"" data-end=""324"">Oletko joskus ollut kesken projektin ilman oikeaa työkalua<br data-start=""236"" data-end=""239"">Etsinyt kaapelikenkiä, joita ei löydy<br data-start=""275"" data-end=""278"">Yrittänyt puristaa liittimen pihdillä, joka ei toimi</p>
<p data-start=""326"" data-end=""407"">Pienten sähkötöiden pitäisi olla helppoja. Silti niistä tulee usein turhan hankalia ja aikaa vieviä.</p>
<h2 data-start=""414"" data-end=""440""><img src=""https://cdn.cloudfastin.top/image/2211ce3d28498af942009d4a3fa6e357fea98fbf.webp""></h2>
<h2 data-start=""508"" data-end=""546"">Helpoin tapa yhdistää kaapelit</h2>
<p data-start=""548"" data-end=""631"">Näillä pikaliittimillä yhdistät kaapelit ilman juottamista ja erikoistyökaluja.</p>
<p data-start=""633"" data-end=""695"">Ota kaapeli<br data-start=""649"" data-end=""652"">Työnnä se liittimeen<br data-start=""675"" data-end=""678"">Paina lukko kiinni<br>Kuulet napsahduksen</p>
<p data-start=""697"" data-end=""705"">Valmista.</p>
<p data-start=""707"" data-end=""773"">Täydellinen LED-valaistukseen, matalajännitteeseen ja pienempiin kotitalouden sähkötöihin.</p>
<h2 data-start=""780"" data-end=""813""><img src=""https://cdn.cloudfastin.top/image/15468cc36dcbc7752ab75ae95210305ea600bb3f.webp""></h2>
<h2 data-start=""887"" data-end=""924"">Siksi yhä useampi valitsee tämän ratkaisun</h2>
<p data-start=""926"" data-end=""1141"">Asennus ilman työkaluja<br data-start=""950"" data-end=""953"">Nopea ja helppo käyttää<br data-start=""980"" data-end=""983"">Vakaa ja turvallinen liitos<br data-start=""1010"" data-end=""1013"">Läpinäkyvä rakenne, josta näet että kaapeli on oikein paikallaan<br data-start=""1064"" data-end=""1067"">Voidaan avata ja käyttää uudelleen<br data-start=""1095"" data-end=""1098"">Sopii matalajännitekaapeleille kuten 12V ja 24V</p>
<h2 data-start=""1148"" data-end=""1163""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlos_design_3.png?v=1774346105"" alt="""" width=""422"" height=""422""></h2>
<h2 data-start=""1148"" data-end=""1163"">Osta turvallisesti – 30 päivän avoin osto</h2>",Majavakauppa,,,FALSE,Title,Default Title,,,,,MAJAVA-MISC-001,shopify,0,continue,manual,29.95,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/hf_20260225_044950_f4b13578-3e4b-41e0-b958-a9df3697b0df_1.jpg?v=1771995114,1,,FALSE,Majavaliitin – kaapelien pikaliitin ilman juotosta,Yhdistä kaapelit sekunneissa ilman juottamista tai erikoistyökaluja. Sopii LED-valoihin ja matalajännitekytkentöihin kotona.,draft
majavaliitin-ei-enaa-hankalia-kaapelikenkia,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/hf_20260213_065138_00cc0c99-fc05-443f-8dc5-64b1d518fe47.png?v=1771995114,2,,,,,
majavaliitin-ei-enaa-hankalia-kaapelikenkia,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/90a2e327ac362261d79af16b7a4abc2e3a39ef9d-600_c5c2426f-de24-4485-b466-169f6eb38f5d.avif?v=1771995114,3,,,,,
majavalamppu-pro,Majavalamppu Pro,"<h2 data-start=""161"" data-end=""216"">Ei enää pimeässä säätämistä – pidä molemmat kädet vapaana</h2>
<p data-start=""218"" data-end=""401"">Tiedät kyllä miltä se tuntuu. Seisot kumartuneena moottoritilan yllä tai ryömit veneen pohjalle korjaamaan jotain, mikä vain <em data-start=""324"" data-end=""331"">on pakko</em> tehdä. Valo ei riitä. Taskulamppu on väärässä paikassa. Puhelin kuolee.</p>
<p data-start=""403"" data-end=""424"">Sen ei tarvitse olla näin.</p>
<p data-start=""426"" data-end=""573"">Oikealla otsalampulla työskentelet tehokkaasti, näet joka yksityiskohdan etkä turhaudu. Ei säätämistä. Vain kirkas, vakaa valo juuri siellä, missä sitä tarvitset.</p>
<h2 data-start=""580"" data-end=""637"">Ratkaisu – tehokas, kevyt ja rakennettu käyttöä varten</h2>
<p data-start=""639"" data-end=""773"">Tämä ladattava otsalamppu antaa sinulle <strong data-start=""683"" data-end=""712"">laajan 270° työvalaistuksen</strong> ja tarkennetun kohdevalon, joka ulottuu jopa <strong data-start=""757"" data-end=""770"">200 metrin</strong> päähän.</p>
<p data-start=""775"" data-end=""789"">Olitpa sitten:</p>
<ul data-start=""791"" data-end=""946"">
<li data-start=""791"" data-end=""822"">
<p data-start=""793"" data-end=""822"">Korjaamassa autoa autotallissa</p>
</li>
<li data-start=""823"" data-end=""855"">
<p data-start=""825"" data-end=""855"">Korjaamassa veneen sähköjä tai moottoria</p>
</li>
<li data-start=""856"" data-end=""881"">
<p data-start=""858"" data-end=""881"">Näpertämässä myöhään illalla</p>
</li>
<li data-start=""882"" data-end=""911"">
<p data-start=""884"" data-end=""911"">Työskentelemässä ahtaissa tiloissa</p>
</li>
<li data-start=""912"" data-end=""946"">
<p data-start=""914"" data-end=""946"">Retkellä tai kalassa</p>
</li>
</ul>
<p data-start=""948"" data-end=""978"">… niin sinulla on oikea valo, heti.</p>
<p data-start=""980"" data-end=""1111"">Se painaa vain <strong data-start=""995"" data-end=""1007"">100 grammaa</strong> ja istuu mukavasti pehmeän silikonin ja säädettävän hihnan ansiosta. Et tuskin huomaa, että sinulla on se päässäsi.</p>
<p data-start=""1113"" data-end=""1228"">Ja kyllä, voit sytyttää ja sammuttaa sen heiluttamalla kättä lampun edessä. Täydellinen silloin, kun kädet ovat likaiset.</p>
<h2 data-start=""1235"" data-end=""1266"">Ominaisuudet &amp; Tekniset tiedot</h2>
<p data-start=""1268"" data-end=""1285""><strong data-start=""1268"" data-end=""1283"">Valoteho:</strong></p>
<ul data-start=""1286"" data-end=""1413"">
<li data-start=""1286"" data-end=""1307"">
<p data-start=""1288"" data-end=""1307"">Yhteensä 1500 lumenia</p>
</li>
<li data-start=""1308"" data-end=""1359"">
<p data-start=""1310"" data-end=""1359"">1000 lm 3 kpl COB-LED-valoista (laaja 270° valaistus)</p>
</li>
<li data-start=""1360"" data-end=""1413"">
<p data-start=""1362"" data-end=""1413"">500 lm XPE-kohdevalosta (kantama jopa 200 m)</p>
</li>
</ul>
<p data-start=""1415"" data-end=""1433""><strong data-start=""1415"" data-end=""1431"">5 valotilaa:</strong></p>
<ul data-start=""1434"" data-end=""1535"">
<li data-start=""1434"" data-end=""1455"">
<p data-start=""1436"" data-end=""1455"">COB – täysteho</p>
</li>
<li data-start=""1456"" data-end=""1471"">
<p data-start=""1458"" data-end=""1471"">COB – keskiteho</p>
</li>
<li data-start=""1472"" data-end=""1493"">
<p data-start=""1474"" data-end=""1493"">XPE – täysteho</p>
</li>
<li data-start=""1494"" data-end=""1509"">
<p data-start=""1496"" data-end=""1509"">XPE – keskiteho</p>
</li>
<li data-start=""1510"" data-end=""1535"">
<p data-start=""1512"" data-end=""1535"">COB + XPE – vilkkumistila</p>
</li>
</ul>
<p data-start=""1537"" data-end=""1562""><strong data-start=""1537"" data-end=""1560"">Akku &amp; lataus:</strong></p>
<ul data-start=""1563"" data-end=""1818"">
<li data-start=""1563"" data-end=""1604"">
<p data-start=""1565"" data-end=""1604"">Sisäänrakennettu 2200 mAh:n litiumakku (3,7V)</p>
</li>
<li data-start=""1605"" data-end=""1634"">
<p data-start=""1607"" data-end=""1634"">3–4 tuntia täydellä teholla</p>
</li>
<li data-start=""1635"" data-end=""1678"">
<p data-start=""1637"" data-end=""1678"">Jopa 6 tuntia normaalikäytössä</p>
</li>
<li data-start=""1679"" data-end=""1721"">
<p data-start=""1681"" data-end=""1721"">Pikalataus USB-C:n kautta (2,5–3 tuntia)</p>
</li>
<li data-start=""1722"" data-end=""1752"">
<p data-start=""1724"" data-end=""1752"">Punainen merkkivalo latauksen aikana</p>
</li>
<li data-start=""1753"" data-end=""1789"">
<p data-start=""1755"" data-end=""1789"">Vilkkuu punaisena, kun akku on vähissä</p>
</li>
<li data-start=""1790"" data-end=""1818"">
<p data-start=""1792"" data-end=""1818"">Vihreä valo, kun akku on täynnä</p>
</li>
</ul>
<p data-start=""1820"" data-end=""1833""><strong data-start=""1820"" data-end=""1831"">Muuta:</strong></p>
<ul data-start=""1834"" data-end=""2023"">
<li data-start=""1834"" data-end=""1884"">
<p data-start=""1836"" data-end=""1884"">Liiketunnistin (päälle/pois käden liikkeellä n. 10 cm etäisyydeltä)</p>
</li>
<li data-start=""1885"" data-end=""1913"">
<p data-start=""1887"" data-end=""1913"">IP45 – kestää sadetta ja kosteutta</p>
</li>
<li data-start=""1914"" data-end=""1945"">
<p data-start=""1916"" data-end=""1945"">Materiaali: Joustava silikoni</p>
</li>
<li data-start=""1946"" data-end=""1961"">
<p data-start=""1948"" data-end=""1961"">Väri: Musta</p>
</li>
<li data-start=""1962"" data-end=""1997"">
<p data-start=""1964"" data-end=""1997"">Säädettävä koko – sopii kaikille</p>
</li>
<li data-start=""1998"" data-end=""2023"">
<p data-start=""2000"" data-end=""2023"">USB-C-kaapeli mukana</p>
</li>
</ul>
<h2 data-start=""2030"" data-end=""2064"">Sinulle, joka haluat työskennellä fiksummin</h2>
<p data-start=""2066"" data-end=""2114"">Tämä ei ole lelu. Tämä on työkalu.</p>
<p data-start=""2116"" data-end=""2220"">Kun sinulla on oikea valo, työskentelet nopeammin, turvallisemmin ja tarkemmin. Vähemmän ärsytystä. Parempi lopputulos.</p>
<p data-start=""2222"" data-end=""2314"">Täydellinen pidettäväksi autossa, veneessä, työkalulaatikossa tai autotallissa – aina valmiina, kun tarvitset sitä.</p>
<h2 data-start=""2321"" data-end=""2356"">Turvallinen osto – 30 päivän avoin osto</h2>
<p data-start=""2358"" data-end=""2465"">Kokeile itse rauhassa.<br data-start=""2384"" data-end=""2387"">Sinulla on <strong data-start=""2394"" data-end=""2417"">30 päivän avoin osto</strong>, jos tuote ei vastaisi odotuksiasi.</p>",Majavakauppa,,,FALSE,Title,Default Title,,,,,MAJAVA-MISC-002,shopify,0,continue,manual,16.95,25.95,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/3XKraftfulltLEDLjus.png?v=1772518783,1,,FALSE,Majavalamppu Pro – ladattava otsalamppu 1500 lm,"270° työvalo ja 200 m kohdevalo. Kevyt, ladattava otsalamppu käsiensä vapaana työskentelyyn autossa, veneessä ja kotona.",draft
majavalamppu-pro,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/WhatsAppImage2026-03-02at09.54.06_1.jpg?v=1772518783,2,,,,,
turvallisen-toimituksen-takuu,Turvallisen toimituksen takuu,"<p>Takaamme turvallisen toimituksen. Jos tuote vaurioituu tai katoaa kuljetuksen aikana, saat siitä korvauksen.</p>",Majavakauppa,,,FALSE,Title,Default Title,,,,,MAJAVA-SERV-003,shopify,0,continue,manual,2.95,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/shipping-protection.png?v=1773908810,1,,FALSE,Turvallisen toimituksen takuu – suojaa tilauksesi,"Lisää tilaukseesi kuljetussuoja: jos tuote vaurioituu tai katoaa matkalla, korvaamme sen sinulle.",draft
majavasuppilo-tankkaa-nopeasti-ilman-roiskumista,Majavasuppilo – Tankkaa nopeasti ilman roiskumista,"<h1 class=""headline"">Roiskutat<span> </span><span>bensiiniä</span><br>joka kerta.</h1>
<p class=""body-text"">Menet autotalliin. Nostat kanisterin. Pidät suppiloa toisella kädellä. Kaadat. Ja sitten, bensiiniä ruohonleikkurin päällä, bensiiniä kädessä, haju ei lähde tunteihin. Taas.</p>
<p class=""body-text"">Sinä et ole kömpelö. Väline on huonosti suunniteltu.<br><br><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/download_1.gif?v=1775203021"" alt=""""><br></p>
<h2 class=""solution-headline"">Napsauta kiinni.<br>Kaada. Valmista.</h2>
<p class=""solution-body"">Majavasuppilo napsahtaa suoraan kiinni bensiinikanisteriisi. Se pysyy paikallaan kaatamisen ajan,<span> </span><span class=""solution-highlight"">ylimääräistä kättä ei tarvita</span>. Ei heilumista. Ei roiskumista. Ei kirosanoja autotallissa.</p>
<div>
<p class=""solution-body"">Kolme sekuntia kiinnittämiseen. Yksi sekunti irrottamiseen. Toimii ruohonleikkurissa, moottorisahassa, trimmerissä, lumilingossa, generaattorissa, autossa ja missä tahansa muussa tankattavassa laitteessa!<br><br></p>
<div class=""step"">
<div class=""step-num"">1 Napsauta suppilo kiinni kanisteriin → 2 Kaada tankkiin → 3 Puhdas tankkaus, ei roiskumista<br><br>
</div>
<div class=""step-num""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/download_2.gif?v=1775203714"" alt=""""></div>
<div class=""step-num"">
<br>
<h2>Rakennettu suomalaiseen autotalliin</h2>
<p class=""body-text"">Yksinkertainen. Tukeva. Toimii heti.</p>
<div class=""features-grid"">
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><path opacity=""0.8"" fill=""#C0432A"" d=""M10 2L12 8H18L13 12L15 18L10 14L5 18L7 12L2 8H8L10 2Z""></path></svg></div>
<div class=""feature-title"">Napsautuskiinnitys</div>
<div class=""feature-body"">Napsahtaa kiinni bensiinikanisteriin ja pysyy tukevasti paikallaan koko täytön ajan.</div>
</div>
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><circle stroke-width=""2"" stroke=""#C0432A"" r=""7"" cy=""10"" cx=""10""></circle><path stroke-linecap=""round"" stroke-width=""2"" stroke=""#C0432A"" d=""M10 6v4l3 3""></path></svg></div>
<div class=""feature-title"">Taipuisa kaatonokka</div>
<div class=""feature-body"">Taipuisa kaatonokka ulottuu ahtaisiin tankkiaukkoihin ruohonleikkureissa ja moottorisahoissa.</div>
</div>
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><path stroke-linecap=""round"" stroke-width=""2"" stroke=""#C0432A"" d=""M10 3v14M3 10h14""></path></svg></div>
<div class=""feature-title"">Sopii useimpiin kanistereihin</div>
<div class=""feature-body"">Yhteensopiva Suomen markkinoiden yleisimpien bensiinikanistereiden vakioaukkojen kanssa.</div>
</div>
<div class=""feature-card"">
<div class=""feature-icon""><svg fill=""none"" viewbox=""0 0 20 20"" height=""20"" width=""20""><path stroke-linejoin=""round"" stroke-linecap=""round"" stroke-width=""2"" stroke=""#C0432A"" d=""M4 16l3-6 3 4 3-8 3 10""></path></svg></div>
<div class=""feature-title"">Polttoainetta kestävä muovi</div>
<div class=""feature-body"">Valmistettu PP-muovista, joka kestää pitkäaikaisen kosketuksen bensiiniin, dieseliin ja alkylaattibensiiniin.<br><br>
</div>
<div class=""feature-body""><img src=""https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlos_design_11.png?v=1775203792"" alt=""""></div>
<div class=""feature-body"">
<br>
<div class=""guarantee-title""><strong>30 päivän avoin osto!</strong></div>
<div class=""guarantee-text"">Jos Majavasuppilo ei tee tankkauksesta helpompaa ja siistimpää, palautat sen ja saat rahasi takaisin ilman kikkailua. Olemme vakuuttuneita siitä, että se ratkaisee ongelman. Siksi voimme luvata tämän.</div>
<br>
</div>
</div>
</div>
<br>
</div>
</div>
</div>",Majavakauppa,,,FALSE,Väri,Punainen,,,,,MAJAVA-MISC-004-1,shopify,0,continue,manual,12.95,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/1013/0322/2621/files/Namnlosdesign_15.png?v=1775245506,1,,FALSE,Majavasuppilo – tankkaa ilman roiskumista,"Napsauta suppilo kiinni kanisteriin ja tankkaa puhtaasti ilman roiskumista. Sopii leikkureihin, sahoihin ja autoon.",draft
majavasuppilo-tankkaa-nopeasti-ilman-roiskumista,,,,,,,Väri,Sininen,,,,,MAJAVA-MISC-004-2,shopify,0,continue,manual,12.95,,TRUE,TRUE,,,,,,,
majavasuppilo-tankkaa-nopeasti-ilman-roiskumista,,,,,,,Väri,Vihreä,,,,,MAJAVA-MISC-004-3,shopify,0,continue,manual,12.95,,TRUE,TRUE,,,,,,,
majavasuppilo-tankkaa-nopeasti-ilman-roiskumista,,,,,,,Väri,Valkoinen,,,,,MAJAVA-MISC-004-4,shopify,0,continue,manual,12.95,,TRUE,TRUE,,,,,,,
