filnamn	status	metod	fel
sections/advanced-content.liquid	OK	TEXT	
sections/article-template.liquid	OK	TEXT	
sections/background-image-text.liquid	OK	TEXT	
sections/background-video-text.liquid	OK	TEXT	
sections/blog-posts.liquid	OK	TEXT	
sections/blog-template.liquid	OK	TEXT	
sections/collection-header.liquid	OK	TEXT	
sections/collection-return.liquid	OK	TEXT	
sections/contact-form.liquid	OK	TEXT	
sections/faq.liquid	OK	TEXT	
sections/featured-collection.liquid	OK	TEXT	
sections/featured-collections.liquid	OK	TEXT	
sections/featured-product.liquid	OK	TEXT	
sections/featured-video.liquid	OK	TEXT	
sections/footer-promotions.liquid	OK	TEXT	
sections/footer.liquid	OK	TEXT	
sections/giftcard-header.liquid	OK	TEXT	
sections/gp-section-631451887765291827.liquid	OK	TEXT	
